Input Frequency,Desired Frequency,Real Frequency,D,M,F,O
100,664,664.2485119047619,7,278,63,6
100,665,665.2488425925926,9,359,15,6
100,666,666.2434895833334,8,319,51,6
100,667,667.2453703703703,9,360,20,6
100,668,668.2291666666666,1,40,6,6
100,669,669.2447916666666,10,401,35,6
100,670,670.2473958333334,4,160,55,6
100,671,671.2425595238095,7,281,59,6
100,672,672.2470238095239,7,282,22,6
100,673,673.2421875,4,161,37,6
100,674,674.2476851851852,9,364,6,6
100,675,675.234375,10,405,9,6
100,676,676.2442129629629,9,365,11,6
100,677,677.24609375,8,325,5,6
100,678,678.2407407407408,9,366,16,6
100,679,679.2447916666667,10,407,35,6
100,680,680.2455357142858,7,285,45,6
100,681,681.2239583333334,10,408,47,6
100,682,682.2482638888889,6,245,39,6
100,683,683.2465277777777,3,122,63,6
100,684,684.2447916666666,2,82,7,6
100,685,685.2430555555557,3,123,22,6
100,686,686.2413194444443,6,247,3,6
100,687,687.2395833333334,1,41,15,6
100,688,688.2486979166666,8,330,23,6
100,689,689.2485119047619,7,289,31,6
100,690,690.2488425925926,9,372,47,6
100,691,691.2434895833334,8,331,51,6
100,692,692.2453703703703,9,373,52,6
100,693,693.2291666666666,1,41,38,6
100,694,694.2447916666666,10,416,35,6
100,695,695.2473958333334,4,166,55,6
100,696,696.2425595238095,7,292,27,6
100,697,697.2470238095239,7,292,54,6
100,698,698.2421875,4,167,37,6
100,699,699.2476851851852,9,377,38,6
100,700,700.234375,10,420,9,6
100,701,701.244212962963,9,378,43,6
100,702,702.24609375,8,337,5,6
100,703,703.2407407407408,9,379,48,6
100,704,704.2447916666666,10,422,35,6
100,705,705.2455357142858,7,296,13,6
100,706,706.2239583333334,10,423,47,6
100,707,707.248263888889,6,254,39,6
100,708,708.2465277777777,3,127,31,6
100,709,709.2447916666666,2,85,7,6
100,710,710.2430555555557,3,127,54,6
100,711,711.2413194444443,6,256,3,6
100,712,712.2395833333334,1,42,47,6
100,713,713.2486979166666,8,342,23,6
100,714,714.2485119047619,7,299,63,6
100,715,715.2488425925926,9,386,15,6
100,716,716.2434895833334,8,343,51,6
100,717,717.2453703703703,9,387,20,6
100,718,718.2291666666666,1,43,6,6
100,719,719.2447916666666,10,431,35,6
